input_id	dealiased_id	standard_id	short_id
https://fairdo.org/	https://fairdo.org/	url:https://fairdo.org/	DMEBhHID
WD-DocProcessStd-1.1-20220129	WD-DocProcessStd-1.1-20220129	WD-DocProcessStd-1.1-20220129	TQdku4YF
WD-RequirementSpec-1.0-20220317	WD-RequirementSpec-1.0-20220317	WD-RequirementSpec-1.0-20220317	STXtoppr
bonino_2019	bonino_2019	bonino_2019	RwvirqWg
WD-MachineActionDef-1.1-20220301	WD-MachineActionDef-1.1-20220301	WD-MachineActionDef-1.1-20220301	UTzzPcce
WD-ConfigurationTypes-1.0-20220317	WD-ConfigurationTypes-1.0-20220317	WD-ConfigurationTypes-1.0-20220317	1FnJihgWr
https://signposting.org/FAIR/	https://signposting.org/FAIR/	url:https://signposting.org/FAIR/	snykkm7R
WD-PIDProfileAttributes-1.0-20220317	WD-PIDProfileAttributes-1.0-20220317	WD-PIDProfileAttributes-1.0-20220317	1D3S8mpov
doi:10.15497/rda00031	doi:10.15497/rda00031	doi:10.15497/rda00031	lCoshHXg
WD-Granularity-1.0-20220317	WD-Granularity-1.0-20220317	WD-Granularity-1.0-20220317	1GSyvgyTr
PED-DOIPEndorsement-0.1-20220326	PED-DOIPEndorsement-0.1-20220326	PED-DOIPEndorsement-0.1-20220326	TIKhgTv2
handle:0.DOIP/DOIPV2.0	handle:0.DOIP/DOIPV2.0	handle:0.DOIP/DOIPV2.0	13TcbsZF6
doi:10.5281/zenodo.5872645	doi:10.5281/zenodo.5872645	doi:10.5281/zenodo.5872645	jRWurmQc
WD-FDO-Upload-0.1-20220320	WD-FDO-Upload-0.1-20220320	WD-FDO-Upload-0.1-20220320	zl4AS4Sw
http://www.openarchives.org/rs/toc	http://www.openarchives.org/rs/toc	url:http://www.openarchives.org/rs/toc	eS5y9TRh
WD-TypingFDOs-1.0-20220310	WD-TypingFDOs-1.0-20220310	WD-TypingFDOs-1.0-20220310	11WHHh04H
doi:10.1007/978-3-030-23584-0_1	doi:10.1007/978-3-030-23584-0_1	doi:10.1007/978-3-030-23584-0_1	IHLT6hye
doi:10.1038/sdata.2016.18	doi:10.1038/sdata.2016.18	doi:10.1038/sdata.2016.18	6DjakjNS
doi:10.1007/s00799-005-0128-x	doi:10.1007/s00799-005-0128-x	doi:10.1007/s00799-005-0128-x	11MnuwJ4l
kahn_1995	kahn_1995	kahn_1995	3Uqe3fuK
https://www.itu.int/rec/T-REC-X.1255-201309-I	https://www.itu.int/rec/T-REC-X.1255-201309-I	url:https://www.itu.int/rec/T-REC-X.1255-201309-I	103Hw8H43
https://www.dona.net/doipv1doc	https://www.dona.net/doipv1doc	url:https://www.dona.net/doipv1doc	16uB3jxpa
doi:10.23728/b2share.b605d85809ca45679b110719b6c6cb11	doi:10.23728/b2share.b605d85809ca45679b110719b6c6cb11	doi:10.23728/b2share.b605d85809ca45679b110719b6c6cb11	tz0P3DTC
doi:10.2777/620649	doi:10.2777/620649	doi:10.2777/620649	aCye3KpE
sec:next-step-fdo	sec:next-step-fdo	sec:next-step-fdo	oVsYljV7
https://www.cordra.org/documentation/api/doip.html	https://www.cordra.org/documentation/api/doip.html	url:https://www.cordra.org/documentation/api/doip.html	xuQKRRx5
